DMU;CountryYear;Country code;Country;Bank;ID;Foreign;Government;Bank code;Listed;Type;Islamic;year;ES;ES2;Cost2Inc;DepSTFund;Equity;Eq2Assets;FixAssets;GLoans;NPL2GL;LoanLP;Loans;NetFeeCom;NetIntRev;Branches;Employees;OthOpExp;OthOpInc;Overhead;PerExp;ROAA;ROAE;Assets;LnAssets;BusinessVol;EarnAssets;Funding;IntExp;NonIntExp;NonIntOpInc;OthEarnAssets;ExRate;Unit;GDPG;GDPC ;LnGDPC;GDPGC;PCDGDP;ICP;IGDPD;STMC;STMR;ETU;PAU;TRU;EXU;CSU;LDU;PCU;FSU;SQU;SCU;ETW;PAW;TRW;EXW;CSW;LDW;PCW;FSW;SQW;SCW;IIILargeAssets;VLargeAssets;HHIAssets  ;IIILargeLoans;VLargeLoans;HHILoans;IIILargeDeposits;VLargeDeposits;HHIDeposits;DomPrivOwnAssets;ForOwnAssets;GovOwnAssets;DomPrivOwnLoans;ForOwnLoans;GovOwnLoans;DomPrivOwnDeposits;ForOwnDeposits;GovOwnDeposits;BankCon;BankZsc;avelf;lat_abst;Legor;legor_uk;legor_fr;EFI;PP;CI;EconFree;PR;FC;FisF;GS;BF;LF;MF;TF;IF;FinF;LoanLossRatio;IndepYear;Indep;Religion;W-House;W-Senate
Albaraka of Algeria-Banque Al Baraka d'Algerie/2005;Algeria/2005;1;Algeria;Albaraka of Algeria-Banque Al Baraka d'Algerie;AlgeriaAlbaraka of Algeria-Banque Al Baraka d'Algerie2005;1;0;1;0;CB;0;2005;0,408;0,403;0,371;299,073;46,304;0,082;10,085;374,105;;6,018;374,105;0,205;24,046;;;4,872;0,955;9,266;4,394;0,016;0,213;564,889;6,337;49,008;392,583;432,882;14,520;9,266;0,955;18,478;73,276;1000,00;0,051;3111,703;8,043;0,035;0,105;0,014;0,165;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,024;0,062;0,914;0,015;0,059;0,926;0,012;0,054;0,933;0,838;11,371;0,294;0,3111111;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;0,016;1962;43;1;0,062;0,028
Albaraka of Algeria-Banque Al Baraka d'Algerie/2006;Algeria/2006;1;Algeria;Albaraka of Algeria-Banque Al Baraka d'Algerie;AlgeriaAlbaraka of Algeria-Banque Al Baraka d'Algerie2006;1;0;1;0;CB;0;2006;0,341;0,335;0,404;380,169;66,514;0,105;14,220;409,090;;4,708;409,090;0,303;31,399;;;8,411;6,676;15,390;6,979;0,024;0,251;632,789;6,450;53,436;430,880;503,671;17,275;15,390;6,676;21,790;72,647;1000,00;0,020;3508,909;8,163;0,005;0,113;0,023;0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,010;0,073;0,917;0,011;0,082;0,907;0,006;0,065;0,929;0,838;14,881;0,294;0,3111111;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,012;1962;44;1;0,062;0,028
Albaraka of Algeria-Banque Al Baraka d'Algerie/2007;Algeria/2007;1;Algeria;Albaraka of Algeria-Banque Al Baraka d'Algerie;AlgeriaAlbaraka of Algeria-Banque Al Baraka d'Algerie2007;1;0;1;0;CB;0;2007;0,532;0,498;0,349;643,649;86,517;0,107;14,446;544,042;;7,173;544,042;6,004;34,838;;;9,135;14,432;17,174;8,038;0,026;0,244;811,720;6,699;65,548;556,713;643,678;16,423;17,174;14,432;12,671;69,292;1000,00;0,030;4005,224;8,295;0,014;0,120;0,037;0,073;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,009;0,069;0,922;0,010;0,105;0,885;0,005;0,064;0,931;0,838;15,311;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,013;1962;45;1;0,077;0,029
Albaraka of Algeria-Banque Al Baraka d'Algerie/2008;Algeria/2008;1;Algeria;Albaraka of Algeria-Banque Al Baraka d'Algerie;AlgeriaAlbaraka of Algeria-Banque Al Baraka d'Algerie2008;1;0;1;0;CB;0;2008;0,505;0,505;0,307;854,748;138,566;0,124;32,919;799,129;;3,097;799,129;7,788;53,714;;;12,712;25,146;24,217;11,505;0,042;0,358;1118,781;7,020;86,189;823,315;854,748;23,660;24,217;25,146;24,186;64,583;1000,00;0,024;4966,572;8,510;0,008;0,122;0,049;0,146;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,838;19,131;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;0,004;1962;46;1;0,077;0,029
Albaraka of Algeria-Banque Al Baraka d'Algerie/2009;Algeria/2009;1;Algeria;Albaraka of Algeria-Banque Al Baraka d'Algerie;AlgeriaAlbaraka of Algeria-Banque Al Baraka d'Algerie2009;1;0;1;0;CB;0;2009;0,464;0,464;0,348;1053,775;215,052;0,158;30,545;818,487;;3,483;818,487;3,730;64,490;;;13,627;18,376;28,824;15,197;0,033;0,232;1360,626;7,216;136,328;831,908;1053,775;26,223;28,824;18,376;13,421;72,647;1000,00;0,024;3951,911;8,282;0,009;0,155;0,057;-0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,098;0,896;0,007;0,123;0,870;0,002;0,092;0,906;0,838;22,132;0,294;0,3111111;French;0;1;4,88;3;0,23;56,6;30;30;77,2;74,1;72,5;55,5;78,6;68,6;50;30;0,004;1962;47;1;0,077;0,051
Albaraka of Algeria-Banque Al Baraka d'Algerie/2010;Algeria/2010;1;Algeria;Albaraka of Algeria-Banque Al Baraka d'Algerie;AlgeriaAlbaraka of Algeria-Banque Al Baraka d'Algerie2010;1;0;1;0;CB;0;2010;0,457;0,450;0,242;1209,610;246,915;0,152;31,189;748,649;;13,322;748,649;1,183;72,863;;;23,539;24,480;23,539;;0,030;0,191;1620,050;7,390;163,307;753,865;1209,610;17,167;23,539;24,480;5,216;74,386;1000,00;0,033;4566,891;8,427;0,018;0,146;0,039;0,162;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,098;0,896;0,007;0,123;0,870;0,002;0,092;0,906;0,838;21,035;0,294;0,3111111;French;0;1;4,87;3;0,23;56,9;30;32;83,5;73,4;71,2;56,4;77,2;70,7;45;30;0,018;1962;48;1;0,077;0,051
Arab Banking Corporation - Algeria/2005;Algeria/2005;1;Algeria;Arab Banking Corporation - Algeria;AlgeriaArab Banking Corporation - Algeria2005;1;0;2;0;CB;0;2005;1,000;0,630;0,076;245,135;45,506;0,106;8,123;88,011;;2,426;88,011;8,147;10,241;4;;1,396;8,147;1,396;;0,020;0,179;430,004;6,064;54648,400;232,681;245,135;0,800;1,396;8,147;144,670;73,276;1,00;0,051;3111,703;8,043;0,035;0,105;0,014;0,165;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,024;0,062;0,914;0,015;0,059;0,926;0,012;0,054;0,933;0,838;6,298;0,294;0,3111111;French;0;1;5,25;3;0,23;53,2;30;26;73,9;61,8;70;55,9;80,1;54,4;50;30;0,028;1962;43;1;0,062;0,028
Arab Banking Corporation - Algeria/2006;Algeria/2006;1;Algeria;Arab Banking Corporation - Algeria;AlgeriaArab Banking Corporation - Algeria2006;1;0;2;0;CB;0;2006;1,000;0,705;0,051;237,213;37,227;0,091;5,269;101,076;;28,129;101,076;10,408;13,183;4;221;1,214;10,408;1,214;;-0,021;-0,209;409,634;6,015;52372,500;287,423;237,213;1,660;1,214;10,408;186,347;72,647;1,00;0,020;3508,909;8,163;0,005;0,113;0,023;0,113;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,010;0,073;0,917;0,011;0,082;0,907;0,006;0,065;0,929;0,838;3,528;0,294;0,3111111;French;0;1;5,17;3;0,23;55,7;30;27;73,9;74,4;74,8;57,4;78,8;61;50;30;0,278;1962;44;1;0,062;0,028
Arab Banking Corporation - Algeria/2007;Algeria/2007;1;Algeria;Arab Banking Corporation - Algeria;AlgeriaArab Banking Corporation - Algeria2007;1;0;2;0;CB;0;2007;1,000;1,000;0,057;342,247;62,701;0,119;12,059;185,205;;5,804;185,205;9,528;16,361;9;280;1,478;9,528;1,478;;0,030;0,287;527,059;6,267;56331,600;382,563;342,247;1,117;1,478;9,528;197,358;69,292;1,00;0,030;4005,224;8,295;0,014;0,120;0,037;0,073;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,009;0,069;0,922;0,010;0,105;0,885;0,005;0,064;0,931;0,838;7,499;0,294;0,3111111;French;0;1;5,02;3;0,23;55,4;30;28;73,8;74,2;73,7;57,6;80,7;66;50;20;0,031;1962;45;1;0,077;0,029
Arab Banking Corporation - Algeria/2008;Algeria/2008;1;Algeria;Arab Banking Corporation - Algeria;AlgeriaArab Banking Corporation - Algeria2008;1;0;2;0;CB;0;2008;0,325;0,252;0,528;298,950;77,456;0,147;12,878;179,190;;-0,921;179,190;7,967;19,480;;331;8,817;8,877;14,961;6,144;0,018;0,138;526,515;6,266;43546,900;351,837;336,579;1,531;14,961;8,877;172,647;64,583;1,00;0,024;4966,572;8,510;0,008;0,122;0,049;0,146;;;7,500;5,000;5,903;5,000;8,000;2,500;0,000;6,250;3,125;4,809;7,917;3,929;6,012;4,167;7,222;3,333;0,000;6,429;2,500;4,612;;;;;;;;;;0,007;0,084;0,909;0,008;0,117;0,875;0,003;0,075;0,922;0,838;8,299;0,294;0,3111111;French;0;1;4,82;3;0,23;56,2;30;31;77;74,6;73,6;57;80,2;68,8;40;30;-0,005;1962;46;1;0,077;0,029
